OBJECTID;LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
219018;11;8;8100417;2021;12;17;3;3;6;7;1;0;1;1;0;0;0;1;801946,3201;5822735,172;13,44627095;52,47108579
219016;11;6;6300526;2021;12;15;6;3;5;2;1;1;1;0;0;0;0;1;789392,593;5817909,279;13,25779733;52,43461527
219013;11;1;1200628;2021;12;8;2;3;2;6;0;0;1;0;0;0;0;1;795849,1849;5828275,623;13,36169483;52,52408755
219012;11;5;5300737;2021;12;5;4;3;5;2;2;0;1;0;0;0;1;1;787947,4609;5830040,189;13,24708127;52,54413835
219011;11;1;1100102;2021;12;12;7;3;6;6;0;1;0;1;0;0;0;1;795644,5559;5827469,099;13,35797064;52,51696876
219010;11;12;12200412;2021;12;23;4;3;6;2;2;0;1;1;0;0;0;0;791269,3782;5834146,672;13,29953349;52,57918639
219008;11;11;11200514;2021;12;18;5;3;6;2;2;0;1;1;0;0;0;0;803356,8817;5830040,791;13,47362914;52,53578324
219007;11;4;4300622;2021;12;13;5;2;0;1;0;0;0;0;1;0;0;1;793162,7905;5826880,396;13,32098283;52,51303103
219005;11;4;4300619;2021;11;9;2;3;2;2;0;0;1;0;0;0;0;1;792159,15;5827317,975;13,30661969;52,51749233
219003;11;4;4400728;2021;12;16;4;3;0;7;2;0;1;0;0;0;1;0;790670,8647;5823108,33;13,28107408;52,48054789
219002;11;1;1300835;2021;12;20;4;3;2;6;2;0;1;0;0;0;0;1;797520,964;5829439,884;13,38730539;52,53361407
219001;11;6;6100209;2021;12;18;2;3;6;4;2;0;1;1;0;0;0;1;794766,3632;5821091,963;13,33942537;52,46027704
218999;11;4;4200310;2021;12;17;6;3;0;1;2;0;0;0;1;0;0;0;790030,4715;5826140,142;13,27431025;52,50806916
218998;11;8;8100208;2021;11;8;3;3;5;3;0;0;1;0;0;0;0;1;801024,4337;5822488,339;13,43251731;52,46938213
218997;11;9;9501737;2021;12;15;2;3;5;3;0;1;1;0;0;0;0;0;814187,4122;5821209,314;13,6244641;52,45051063
218996;11;11;11300619;2021;12;18;2;3;2;2;1;0;1;0;0;0;1;1;803847,7608;5828856,366;13,47976164;52,52489422
218993;11;7;7601339;2021;11;16;2;2;6;4;2;0;1;1;0;0;0;1;795654,8222;5816076,433;13,34802773;52,41483607
218991;11;4;4400835;2021;12;11;3;3;5;2;0;1;1;0;0;0;0;0;793378,1772;5822277,386;13,32009451;52,47165101
218990;11;4;4501045;2021;12;20;5;3;2;6;2;1;1;0;0;0;0;1;794190,3267;5825422,896;13,33479288;52,49941212
218988;11;10;10400940;2021;12;0;7;3;3;6;2;0;1;0;0;0;0;1;812731,058;5825555,102;13,60717712;52,49028905
218987;11;8;8100415;2021;11;12;3;3;5;7;0;0;1;0;0;0;0;1;802019,8613;5823455,21;13,4480023;52,47749893
218986;11;2;2400521;2021;12;8;2;3;0;1;0;1;0;0;0;0;0;2;801277,4045;5827949,287;13,44116839;52,51819032
218985;11;2;2200208;2021;12;12;2;3;2;6;0;0;1;0;0;0;0;1;797582,5846;5825307,207;13,38451516;52,49653589
218983;11;1;1300730;2021;12;17;3;3;6;2;2;0;1;1;0;0;0;1;796161,8571;5832284,683;13,36986399;52,55985498
218982;11;6;6200419;2021;12;18;4;2;5;3;2;0;1;0;0;0;0;0;793423,4599;5816125,784;13,31535703;52,4164792
218980;11;2;2100106;2021;12;0;5;3;5;2;2;0;1;0;0;0;0;0;799068,2164;5825601,488;13,4065982;52,49836166
218979;11;8;8200726;2021;12;15;2;3;2;7;1;0;1;0;0;0;0;0;801680,4412;5820126,915;13,44001154;52,44785426
218978;11;7;7501031;2021;12;14;7;3;2;2;0;0;1;0;0;0;0;0;798474,5411;5819896,472;13,39277389;52,44754823
218977;11;11;11501341;2021;12;18;4;3;2;6;2;0;1;0;0;0;0;1;807211,663;5823866,1;13,5245864;52,47828593
218976;11;1;1100207;2021;12;15;3;3;5;2;0;1;1;0;0;0;0;0;798894,4334;5827353,316;13,40561863;52,51415956
218974;11;11;11100309;2021;12;19;5;3;6;4;2;0;1;1;0;0;0;0;805281,2251;5833241,68;13,50485518;52,56339623
218972;11;4;4300623;2021;12;12;6;3;0;1;0;0;0;0;1;0;0;2;792734,7259;5826298,374;13,31418103;52,50804329
218969;11;6;6200315;2021;12;17;3;3;2;6;2;0;1;0;0;0;0;0;795255,5449;5817505,433;13,34343517;52,42786182
218968;11;4;4501042;2021;12;16;7;3;3;6;1;0;1;0;0;0;0;1;794005,8641;5825595,156;13,3322354;52,50105575
218967;11;11;11200411;2021;12;12;4;3;5;2;0;1;1;0;0;0;0;1;805160,1561;5831623,82;13,50158734;52,54896429
218966;11;7;7501030;2021;12;18;3;3;3;6;0;0;1;0;0;1;0;0;798008,675;5819646,649;13,38571653;52,44556296
218964;11;3;3200308;2021;12;11;6;3;5;2;0;0;1;0;0;0;0;0;800178,1515;5836542,698;13,43278839;52,59582126
218963;11;7;7601442;2021;12;18;1;3;5;2;2;0;1;0;0;0;0;1;799258,9138;5816264,296;13,40103031;52,41456157
218961;11;7;7601341;2021;11;18;3;3;2;6;2;0;1;0;0;1;0;1;797950,5411;5815763,981;13,38140471;52,41079047
218959;11;2;2200208;2021;12;14;3;3;6;2;0;0;1;1;0;0;0;0;797844,6922;5824926,04;13,38802391;52,4929762
218958;11;9;9200614;2021;12;3;1;3;0;7;2;0;1;0;0;0;0;2;808430,3014;5820670,789;13,53952056;52,44896273
218957;11;11;11100308;2021;12;14;5;2;6;4;0;0;0;1;0;0;1;0;805208,8814;5833331,496;13,50387385;52,56424175
218956;11;7;7400823;2021;12;16;6;3;5;2;2;0;1;0;1;0;0;0;796923,1382;5822282,243;13,37213552;52,46977923
218953;11;4;4400833;2021;12;11;6;3;2;2;0;0;1;0;0;0;0;1;792414,5302;5822815,987;13,30642029;52,47699618
218952;11;9;9401432;2021;12;9;6;3;3;6;0;1;1;0;0;0;0;1;812305,4813;5820336,484;13,59604549;52,44376719
218951;11;12;12100205;2021;12;10;4;3;5;2;0;0;1;0;0;0;0;1;794847,1703;5833755,675;13,35183421;52,57375464
218950;11;8;8200726;2021;12;17;7;3;6;4;1;1;0;1;0;0;0;1;801534,5944;5820175,914;13,43791625;52,44837392
218948;11;2;2100102;2021;12;23;3;3;5;3;2;0;1;0;0;0;0;1;798311,0396;5825627,062;13,39550025;52,49900531
218946;11;3;3601141;2021;12;12;5;3;3;6;0;1;0;0;0;0;0;1;798693,5279;5831792,724;13,40665644;52,55406253
